id,company_name,latitude,longitude
1,Kanoodle,53.98179,38.17118
2,Trudeo,32.40314,64.46959
3,Topicblab,25.25817,55.30472
4,Thoughtsphere,36.67006,37.73278
5,Devshare,10.2736,122.9743
6,Rhyzio,42.39063,18.91417
7,Feednation,29.02805,114.03184
8,Devpulse,49.09855,17.51671
9,Edgetag,6.54368,-7.4935
10,Jabberstorm,43.46667,24.86667
11,Latz,11.31004,106.09828
12,Youtags,46.72049,126.17402
13,Rhycero,27.55831,116.63978
14,Latz,-5.4,39.68333
15,Mynte,54.65455,19.90929
16,Eire,36.45606,10.73763
17,Voonder,26.5529,-81.9486
18,Realbuzz,53.84321,22.97979
19,Brainlounge,-8.8283,121.6201
20,Kwideo,56.02094,29.92844
21,Voonix,29.47589,114.10607
22,Katz,46.68167,15.64806
23,Ntag,29.7542,116.09721
24,Edgetag,-7.25972,-34.9075
25,Blogtag,41.2083,-8.5292
26,Trudoo,29.86409,116.31816
27,Browsedrive,-26.95374,-60.96928
28,Dabshots,43.2969,5.3811
29,Plajo,6.11284,-75.98378
30,Yakitri,49.84126,15.88472
31,Yadel,52.65417,-7.25222
32,Skinder,-10.2931,123.5382
33,Voonder,-7.1205,106.8693
34,Edgepulse,46.82583,28.59361
35,Eare,-7.1684,108.1309
36,Edgewire,31.56618,121.05729
37,Izio,52.3895,9.8502
38,Abatz,59.9287,10.8054
39,Skibox,6.71864,101.40983
40,Bubblebox,-0.68321,100.31856
41,Mybuzz,32.67953,120.77342
42,Lajo,29.85834,105.97306
43,Roodel,4.5016,9.5671
44,Gabspot,49.35499,-97.36567
45,Yabox,-2.73969,-78.8486
46,Vitz,49.75182,31.46004
47,Riffwire,37.0833,-8.25
48,Skyvu,43.90012,-78.84957
49,Skyba,1.20062,31.80062
50,Shufflebeat,8.0063,123.2396
51,Mudo,10.13312,106.33519
52,Tagcat,57.7072,11.9668
53,Gigabox,-2.273,102.0998
54,Agivu,45.65,0.15
55,Jaxspan,9.76806,1.10528
56,Flashpoint,16.2892,119.95
57,Thoughtstorm,-8.3222,114.1946
58,Ntag,-12.9486,-76.38112
59,Realfire,52.6317,4.7486
60,Blogpad,30.57383,103.92127
61,Pixonyx,-20.8823,55.4504
62,Flipopia,-7.99194,-38.29833
63,Thoughtstorm,53.835,-6.39611
64,Wikizz,-7.18495,113.50247
65,Topicshots,29.57652,109.71242
66,Twimbo,23.67704,116.99961
67,Lazzy,10.68156,-71.03678
68,Thoughtbridge,25.88639,111.50083
69,Jayo,14.90167,120.84917
70,Divanoodle,48.91302,16.85306
71,Roombo,-17.83917,-40.35389
72,Trilia,53.37056,50.35428
73,Thoughtsphere,18.2146,-93.3418
74,Eabox,-10.11532,-77.39783
75,Shufflebeat,32.7673,-96.7776
76,Kimia,59.2916,10.4682
77,Dabshots,-6.7268,111.237
78,Kwinu,-10.754,122.9123
79,Skinix,31.20842,109.93537
80,Shuffletag,32.0895,121.48663
81,Rhybox,13.86639,120.98139
82,Photolist,40.4209,-8.7214
83,Devshare,38.40856,71.03838
84,Browsebug,9.28333,5.05
85,Livepath,-7.70556,109.03083
86,Fanoodle,19.90858,99.8325
87,Realmix,51.98,5.9111
88,Skilith,49.0929,1.4633
89,Browseblab,44.60667,22.61194
90,Vidoo,-20.13083,57.65917
91,Meevee,-8.0607,111.6636
92,Topicstorm,49.05018,-76.98273
93,Browsecat,14.2782,120.99503
94,Oozz,40.8043,120.55368
95,Twitterworks,55.71667,37.41667
96,Flipstorm,30.87222,119.51966
97,Yozio,55.5562,98.6644
98,Skyndu,20.0778,-98.4075
99,Youopia,47.8266,31.13551
100,Rhycero,-8.6816,122.193
101,Rooxo,39.1,23.08333
102,Dabtype,-22.39028,-44.96667
103,Dablist,27.21122,114.72949
104,Demimbu,22.70817,89.07185
105,Demizz,32.99941,35.81084
106,Linklinks,-7.0396,107.9077
107,Dabshots,31.53537,34.97192
108,Abatz,28.82909,116.62511
109,Bluejam,12.28554,123.72281
110,Kwimbee,10.5203,122.8017
111,Jamia,9.13112,-77.9262
112,Lazz,-21.26083,-50.64278
113,Twitterwire,10.64346,123.0836
114,Edgeclub,45.8016,-122.5203
115,Kazu,5.98111,121.21472
116,Mybuzz,12.93333,100.88333
117,BlogXS,42.6976,2.8954
118,Jabbertype,-8.0786,111.8818
119,Gabtune,48.21751,26.29133
120,Buzzbean,27.69944,119.06
121,Twinte,57.2646,16.4484
122,Zoozzy,21.73528,-78.79639
123,Tagopia,39.85,-8.35
124,Centidel,30.21235,115.42684
125,Kwinu,53.0635,26.6321
126,Brightbean,-23.80644,-64.78757
127,Oba,41.1333,-7.3
128,Blognation,6.89861,124.58389
129,Voonyx,32.34289,36.20804
130,Trunyx,52.00575,127.67756
131,Rhynoodle,29.33278,48.02861
132,Bluezoom,41.3056,-8.2583
133,Linktype,22.71873,-12.45205
134,Oba,17.92397,-76.58824
135,Einti,-8.3053,116.6275
136,Pixope,45.11667,21.30361
137,Brightbean,48.6333,2.45
138,Topiczoom,59.4032,17.9448
139,Skivee,8.27417,124.72194
140,Meetz,33.75139,132.70139
141,Thoughtmix,40.02539,65.96095
142,Cogibox,53.29759,16.99079
143,Vinder,24.75563,113.58185
144,Rhycero,40.5,19.81667
145,Tagpad,-14.34147,-71.46311
146,Oodoo,-6.9806,113.8602
147,Flipstorm,38.45,-7.5667
148,Jabbertype,28.52485,108.88038
149,Centizu,-5.0068,122.4943
150,Lajo,-2.199,137.0013
